job_id,title,company,location,posted_at,description,apply_url,all_apply_urls,source,query_location,date_filter,scraped_at
eyJqb2JfdGl0bGUiOiJTci4gRGF0YSBTY2llbnRpc3QiLCJjb21wYW55X25hbWUiOiJHbG9iYWwgTWVkaWNhbCBSZXNwb25zZSIsImFkZHJlc3NfY2l0eSI6IlRleGFzIiwiaHRpZG9jaWQiOiJoOTZYR0RVbm1vSm5BSWNwQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJblJHRnNiR0Z6TFVaMExpQlhiM0owYUN4VVdDeFVaWGhoY3l4VmJtbDBaV1FnVTNSaGRHVnoiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,Sr. Data Scientist,Global Medical Response,Texas,4 days ago,"Job Description: Sr. Data Scientist Annual Compensation: $170,000 - $175,000 Location: Remote; Dallas, TX preferred Why Choose GMR? Global Medical Response (GMR) and its family of solutions are dedicated to delivering compassionate, quality medical care, primarily in the areas of emergency and patient relocation services. Here you'll embark on meaningful work that will make an impact on you and the customers we serve. View the stories on how our employees provide care to the world at www.AtaMome",https://jobs.kdvr.com/jobs/sr.-data-scientist-village-texas/2707558474-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://jobs.kdvr.com/jobs/sr.-data-scientist-village-texas/2707558474-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140174+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3QgSHlicmlkIC8gUmVtb3RlIiwiY29tcGFueV9uYW1lIjoiSUxJQVMgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiVGV4YXMiLCJodGlkb2NpZCI6IlZRSEpKMWM0aTJLVXI5Q0xBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0luUkdGc2JHRnpMVVowTGlCWGIzSjBhQ3hVV0N4VVpYaGhjeXhWYm1sMFpXUWdVM1JoZEdWeiIsImdsIjoidXMiLCJobCI6ImVuIn0=,Senior Data Scientist Hybrid / Remote,ILIAS Solutions,Texas,6 days ago,"OpportunityThe RoleWe're looking for a Senior Data Scientist with strong skills in simulation modeling, mathematical optimization, and sensor data analysis.This is a hands-on, high-impact role where you will develop analytical solutions for real-world defense scenarios -- from optimizing aircraft maintenance schedules to analyzing live sensor data from naval vessels.You'll be joining a cross-functional team that builds scalable, data-driven products supporting mission readiness and capability ma",https://bebee.com/us/jobs/senior-data-scientist-hybrid-remote-ilias-solutions-tx--appcast-13509_81495577?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://bebee.com/us/jobs/senior-data-scientist-hybrid-remote-ilias-solutions-tx--appcast-13509_81495577?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140189+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3QgLSBQcmVkaWN0aXZlIEFuYWx5dGljcyBcdTAwMjYgSW5zaWdodHMiLCJjb21wYW55X25hbWUiOiJUZWNoRGlnaXRhbCBHcm91cCIsImFkZHJlc3NfY2l0eSI6IldlYXRoZXJmb3JkLCBUWCIsImh0aWRvY2lkIjoiUDdlQmNodDNFR2hHUkNsakFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSW5SR0ZzYkdGekxVWjBMaUJYYjNKMGFDeFVXQ3hVWlhoaGN5eFZibWwwWldRZ1UzUmhkR1Z6IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,Senior Data Scientist - Predictive Analytics & Insights,TechDigital Group,"Weatherford, TX",7 days ago,"A leading technology firm in Weatherford, Texas is seeking a skilled data scientist to analyze complex datasets and develop predictive models. The ideal candidate will have a Bachelor's degree in data science or a related field, along with 5-8 years of experience. Proficiency in Python, R, SQL, and data visualization tools such as Tableau and Power BI is essential. This role offers an opportunity to work collaboratively with cross-functional teams and drive data science applications within the o",https://www.jobleads.com/us/job/senior-data-scientist-predictive-analytics-insights--weatherford--e17652746875044b3396b68ceb24b3f7b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.jobleads.com/us/job/senior-data-scientist-predictive-analytics-insights--weatherford--e17652746875044b3396b68ceb24b3f7b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.learn4good.com/jobs/weatherford/texas/info_technology/4996191416/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140195+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3QgLSBBSSBQcmFjdGljZSBUZWFtIiwiY29tcGFueV9uYW1lIjoiQW1lcmljYW4gQnVyZWF1IG9mIFNoaXBwaW5nIChBQlMpIiwiYWRkcmVzc19jaXR5IjoiVGV4YXMiLCJodGlkb2NpZCI6IlFpMFdEZzVoaWJ0by1uY2tBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0luUkdGc2JHRnpMVVowTGlCWGIzSjBhQ3hVV0N4VVpYaGhjeXhWYm1sMFpXUWdVM1JoZEdWeiIsImdsIjoidXMiLCJobCI6ImVuIn0=,Senior Data Scientist - AI Practice Team,American Bureau of Shipping (ABS),Texas,2 days ago,"We are seeking an exceptional Senior Data Scientist to join us full-time in our Artificial Intelligence (AI) Practice Team. In this role, you will lead the design and delivery of analytics and machine learning solutions across policy, data, and document-centric AI engagements, working with complex real-world datasets from industrial and asset-intensive domains. Location: This position can be based in Houston, Texas; Knoxville, Tennessee; or Washington, DC. What You Will Do: • Lead the preparatio",https://www.recruit.net/job/data-scientist-ai-practice-team-jobs/C11D7A5A4803A0A9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.recruit.net/job/data-scientist-ai-practice-team-jobs/C11D7A5A4803A0A9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140204+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgR3JhcGggRGF0YSBTY2llbnRpc3Qg4oCTIElkZW50aXR5IEFuYWx5dGljcyIsImNvbXBhbnlfbmFtZSI6IlVTQUEiLCJhZGRyZXNzX2NpdHkiOiJUZXhhcyIsImh0aWRvY2lkIjoiRUs1b1VYeVphRkZDd3ZkSEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSW5SR0ZzYkdGekxVWjBMaUJYYjNKMGFDeFVXQ3hVWlhoaGN5eFZibWwwWldRZ1UzUmhkR1Z6IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,Senior Graph Data Scientist – Identity Analytics,USAA,Texas,3 days ago,"Why USAA?  At USAA, our mission is to empower our members to achieve financial security through highly competitive products, exceptional service and trusted advice. We seek to be the #1 choice for the military community and their families.  Embrace a fulfilling career at USAA, where our core values – honesty, integrity, loyalty and service – define how we treat each other and our members. Be part of what truly makes us special and impactful.  The Opportunity  We offer a flexible work environment",https://jobs.womenforhire.com/job/usa/bexar-county-tx/senior-graph-data-scientist-identity-analytics-068092/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://jobs.womenforhire.com/job/usa/bexar-county-tx/senior-graph-data-scientist-identity-analytics-068092/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140208+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBTY2llbnRpc3QgKE5MUCBhbmQgR2VuQUkgU3BlY2lhbGlzdCkiLCJjb21wYW55X25hbWUiOiJNb3JnYW4gU3RhbmxleSIsImFkZHJlc3NfY2l0eSI6IlRleGFzIiwiaHRpZG9jaWQiOiJac0VaT1FMaWxOeHUyVnZYQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJblJHRnNiR0Z6TFVaMExpQlhiM0owYUN4VVdDeFVaWGhoY3l4VmJtbDBaV1FnVTNSaGRHVnoiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,Senior Data Scientist (NLP and GenAI Specialist),Morgan Stanley,Texas,6 days ago,"We're seeking someone to join our team as a Senior Data Scientist (NLP Specialist) in Non-Financial Risk to develop and deploy advanced AI models using NLP, Machine Learning, and quantitative techniques to improve surveillance and compliance monitoring.  In the Legal & Compliance division, we assist the Firm in achieving its business objectives by facilitating and overseeing the Firm's management of legal, regulatory, and franchise risk. This is a Vice President level position within the NFR Dat",https://www.career.com/job/morgan-stanley/senior-data-scientist-nlp-and-genai-specialist/j202602031540341361622?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.career.com/job/morgan-stanley/senior-data-scientist-nlp-and-genai-specialist/j202602031540341361622?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140212+00:00
eyJqb2JfdGl0bGUiOiJMZWFkIERhdGEgU2NpZW50aXN0IC0gR2VuQUkiLCJjb21wYW55X25hbWUiOiJUaWdlciBBbmFseXRpY3MgSW5jLiIsImFkZHJlc3NfY2l0eSI6IlRleGFzIiwiaHRpZG9jaWQiOiJsMVhickI1bExqSWZmc3JSQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJblJHRnNiR0Z6TFVaMExpQlhiM0owYUN4VVdDeFVaWGhoY3l4VmJtbDBaV1FnVTNSaGRHVnoiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,Lead Data Scientist - GenAI,Tiger Analytics Inc.,Texas,3 days ago,"About the position  Tiger Analytics is looking for experienced Data Scientists to join our fast-growing advanced analytics consulting firm. Our consultants bring deep expertise in Data Science, Machine Learning and AI. We are the trusted analytics partner for multiple Fortune 500 companies, enabling them to generate business value from data. Our business value and leadership has been recognized by various market research firms, including Forrester and Gartner. We are looking for top-notch talent",https://www.tealhq.com/job/lead-data-scientist-genai_7ea1adc6caa4782a4c7c388e8f2d9b46c8c80?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.tealhq.com/job/lead-data-scientist-genai_7ea1adc6caa4782a4c7c388e8f2d9b46c8c80?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.recruit.net/job/data-scientist-genai-jobs/AC11BF5A97A63F0E?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140216+00:00
eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5dGljcyBhbmQgRGV2ZWxvcG1lbnQiLCJjb21wYW55X25hbWUiOiJUQUQgUEdTLCBJbmMiLCJhZGRyZXNzX2NpdHkiOiJXZWF0aGVyZm9yZCwgVFgiLCJodGlkb2NpZCI6ImNDWXowSDE5d0RZMFJjbjVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0luUkdGc2JHRnpMVVowTGlCWGIzSjBhQ3hVV0N4VVpYaGhjeXhWYm1sMFpXUWdVM1JoZEdWeiIsImdsIjoidXMiLCJobCI6ImVuIn0=,Data Analytics and Development,"TAD PGS, Inc","Weatherford, TX",23 hours ago,"We have an outstanding Contract position for a Data Analytics and Development. This position is 100% remote.  Pay Rate: $102.00 • *US Citizenship is required.** • *Candidate must possess an Active Secret Security Clearance.**  Job Responsibilities: • Support data-driven analysis and metric reporting with responsibilities including data collection, reporting development, and analytics execution.  Basic Hiring Criteria: • Bachelor's degree.  Benefits offered vary by contract. Depending on your tem","https://www.ziprecruiter.com/c/TAD-PGS/Job/Data-Analytics-and-Development/-in-Weatherford,TX?jid=de367d51d53fc921&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","https://www.ziprecruiter.com/c/TAD-PGS/Job/Data-Analytics-and-Development/-in-Weatherford,TX?jid=de367d51d53fc921&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140220+00:00
eyJqb2JfdGl0bGUiOiJMZWFkIERhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiTWVtb3JpYWwgSGVybWFubiBIZWFsdGggU3lzdGVtIiwiYWRkcmVzc19jaXR5IjoiVGV4YXMiLCJodGlkb2NpZCI6Ik5Jc01WQ0FHNWV5Z3FaS2pBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0luUkdGc2JHRnpMVVowTGlCWGIzSjBhQ3hVV0N4VVpYaGhjeXhWYm1sMFpXUWdVM1JoZEdWeiIsImdsIjoidXMiLCJobCI6ImVuIn0=,Lead Data Scientist,Memorial Hermann Health System,Texas,5 days ago,"At Memorial Hermann, we pursue a common goal of delivering high quality, efficient care while creating exceptional experiences for every member of our community. When we say every member of our community, that includes our employees. We know that when our employees feel cared for, heard and valued, they are inspired to create moments that exceed expectations, while prioritizing safety, compassion, personalization and efficiency. If you want to advance your career and contribute to our vision of ",https://builtin.com/job/lead-data-scientist/8365781?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://builtin.com/job/lead-data-scientist/8365781?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://jobs.6amcity.com/job/327262/lead-data-scientist/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.simplyhired.com/job/-YtkJ5ND8lglPW5ma5bUsTAUN46mBznvYraFS-bwDMVlPGLBseM6Ag?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.jobtarget.com/jobs/jt-gt7uue8ln1/lead-data-scientist-calgary-e-texas?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.talent.com/view?id=612038436054049185&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://jobright.ai/jobs/info/69a5c186b600907a962b6c5e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://www.recruit.net/job/lead-data-scientist-jobs/9E695DE2C96EB800?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | https://us.trabajo.org/job-4023-9d66b4b599faee3948d7c471b1776bd9?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140226+00:00
eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBNYXBwaW5nIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJWaXJ0dWFsVm9jYXRpb25zIiwiYWRkcmVzc19jaXR5IjoiQWJpbGVuZSwgVFgiLCJodGlkb2NpZCI6IlFzeEdsWEJ2Q3JRdHVBcWlBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0luUkdGc2JHRnpMVVowTGlCWGIzSjBhQ3hVV0N4VVpYaGhjeXhWYm1sMFpXUWdVM1JoZEdWeiIsImdsIjoidXMiLCJobCI6ImVuIn0=,Senior Data Mapping Analyst,VirtualVocations,"Abilene, TX (+1 other)",2 days ago,"A company is looking for a Senior Data Mapping Analyst.  Key Responsibilities  Map tables, fields, and columns from source systems to target systems in Snowflake and Oracle  Ensure accuracy, completeness, and consistency across all data mapping documentation  Identify gaps, discrepancies, and dependencies within the data mapping process  Required Qualifications  Experience mapping tables and columns from source systems to target systems in Snowflake and Oracle  Ability to explain functionality a",https://www.talent.com/view?id=614360259960112571&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,https://www.talent.com/view?id=614360259960112571&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,serpapi,"Dallas, TX",week,2026-04-10T16:40:00.140229+00:00
